,CaptureEventID,notblank
186,ASG0000057,1
187,ASG0000058,1
188,ASG0000059,1
189,ASG000005a,1
190,ASG000005b,1
191,ASG000005c,1
192,ASG000005d,1
193,ASG000005e,1
194,ASG000005f,1
195,ASG000005g,1
196,ASG000005h,1
197,ASG000005i,1
198,ASG000005j,1
199,ASG000005k,1
200,ASG000005l,1
201,ASG000005m,1
202,ASG000005n,1
203,ASG000005o,1
204,ASG000005p,1
205,ASG000005q,1
206,ASG000005r,1
207,ASG000005s,1
208,ASG000005t,1
209,ASG000005u,1
210,ASG000005v,1
211,ASG000005w,1
212,ASG000005x,1
213,ASG000005y,1
214,ASG000005z,1
215,ASG0000060,1
216,ASG0000061,1
217,ASG0000062,1
218,ASG0000063,1
219,ASG0000064,1
220,ASG0000065,1
221,ASG0000066,1
222,ASG0000067,1
223,ASG0000068,1
224,ASG0000069,1
225,ASG000006a,1
226,ASG000006b,1
227,ASG000006c,1
228,ASG000006d,1
229,ASG000006e,1
230,ASG000006f,1
231,ASG000006g,1
232,ASG000006h,1
233,ASG000006i,1
234,ASG000006j,1
235,ASG000006k,1
236,ASG000006l,1
237,ASG000006m,1
238,ASG000006n,1
239,ASG000006o,1
240,ASG000006p,1
241,ASG000006q,1
242,ASG000006r,1
243,ASG000006s,1
244,ASG000006t,1
245,ASG000006u,1
246,ASG000006v,1
247,ASG000006w,1
248,ASG000006x,1
249,ASG000006y,1
250,ASG000006z,1
251,ASG0000070,0
252,ASG0000071,1
253,ASG0000072,1
254,ASG0000073,1
255,ASG0000074,1
256,ASG0000075,1
257,ASG0000076,0
258,ASG0000077,0
259,ASG0000078,1
260,ASG0000079,1
261,ASG000007a,1
262,ASG000007b,1
263,ASG000007c,1
264,ASG000007d,1
265,ASG000007e,0
266,ASG000007f,0
267,ASG000007g,0
268,ASG000007h,1
269,ASG000007i,1
270,ASG000007j,0
271,ASG000007k,1
272,ASG000007l,1
273,ASG000007m,0
274,ASG000007n,1
275,ASG000007o,1
276,ASG000007p,0
277,ASG000007q,1
278,ASG000007r,1
279,ASG000007s,1
280,ASG000007t,1
281,ASG000007u,1
282,ASG000007v,1
283,ASG000007w,1
284,ASG000007x,1
285,ASG000007y,0
286,ASG000007z,1
287,ASG0000080,1
288,ASG0000081,1
289,ASG0000082,1
290,ASG0000083,1
291,ASG0000084,1
292,ASG0000085,1
293,ASG0000086,1
294,ASG0000087,1
295,ASG0000088,1
296,ASG0000089,1
297,ASG000008a,1
298,ASG000008b,1
299,ASG000008c,1
300,ASG000008d,1
301,ASG000008e,1
302,ASG000008f,1
303,ASG000008g,1
304,ASG000008h,1
305,ASG000008i,1
306,ASG000008j,1
307,ASG000008k,1
308,ASG000008l,1
309,ASG000008m,1
310,ASG000008n,0
311,ASG000008o,0
312,ASG000008p,0
313,ASG000008q,1
314,ASG000008r,1
315,ASG000008s,1
316,ASG000008t,0
317,ASG000008u,1
318,ASG000008v,1
319,ASG000008w,1
320,ASG000008x,1
321,ASG000008y,1
322,ASG000008z,1
323,ASG0000090,1
324,ASG0000091,1
325,ASG0000092,0
326,ASG0000093,1
327,ASG0000094,1
328,ASG0000095,1
329,ASG0000096,1
330,ASG0000097,1
331,ASG0000098,0
332,ASG0000099,1
333,ASG000009a,0
334,ASG000009b,1
335,ASG000009c,1
336,ASG000009d,0
337,ASG000009e,0
338,ASG000009f,1
339,ASG000009g,1
340,ASG000009h,1
341,ASG000009i,1
342,ASG000009j,1
343,ASG000009k,1
344,ASG000009l,0
345,ASG000009m,1
346,ASG000009n,1
347,ASG000009o,1
348,ASG000009p,1
349,ASG000009q,1
350,ASG000009r,1
351,ASG000009s,0
352,ASG000009t,0
353,ASG000009u,1
354,ASG000009v,1
355,ASG000009w,1
356,ASG000009x,0
357,ASG000009y,1
358,ASG000009z,1
359,ASG00000a0,1
360,ASG00000a1,0
361,ASG00000a2,0
362,ASG00000a3,1
363,ASG00000a4,1
364,ASG00000a5,0
365,ASG00000a6,0
366,ASG00000a7,0
367,ASG00000a8,0
368,ASG00000a9,1
369,ASG00000aa,1
370,ASG00000ab,0
371,ASG00000ac,1
372,ASG00000ad,0
373,ASG00000ae,1
374,ASG00000af,0
375,ASG00000ag,1
376,ASG00000ah,1
377,ASG00000ai,0
378,ASG00000aj,1
379,ASG00000ak,1
380,ASG00000al,1
381,ASG00000am,1
382,ASG00000an,1
383,ASG00000ao,1
384,ASG00000ap,0
385,ASG00000aq,0
386,ASG00000ar,0
387,ASG00000as,1
388,ASG00000at,1
389,ASG00000au,0
390,ASG00000av,0
391,ASG00000aw,0
392,ASG00000ax,0
393,ASG00000ay,0
394,ASG00000az,0
395,ASG00000b0,0
396,ASG00000b1,0
397,ASG00000b2,0
398,ASG00000b3,0
399,ASG00000b4,0
400,ASG00000b5,0
401,ASG00000b6,0
402,ASG00000b7,0
403,ASG00000b8,0
404,ASG00000b9,0
405,ASG00000ba,0
406,ASG00000bb,0
407,ASG00000bc,0
408,ASG00000bd,0
409,ASG00000be,1
410,ASG00000bf,0
411,ASG00000bg,0
412,ASG00000bh,1
413,ASG00000bi,1
414,ASG00000bj,1
415,ASG00000bk,1
416,ASG00000bl,1
417,ASG00000bm,1
418,ASG00000bn,1
419,ASG00000bo,1
420,ASG00000bp,1
421,ASG00000bq,1
422,ASG00000br,1
423,ASG00000bs,1
424,ASG00000bt,1
425,ASG00000bu,1
426,ASG00000bv,1
427,ASG00000bw,1
428,ASG00000bx,1
429,ASG00000by,1
430,ASG00000bz,1
431,ASG00000c0,1
432,ASG00000c1,1
433,ASG00000c2,1
434,ASG00000c3,1
435,ASG00000c4,1
436,ASG00000c5,1
437,ASG00000c6,1
438,ASG00000c7,1
439,ASG00000c8,1
440,ASG00000c9,1
441,ASG00000ca,1
442,ASG00000cb,1
443,ASG00000cc,1
444,ASG00000cd,1
445,ASG00000ce,1
446,ASG00000cf,1
447,ASG00000cg,1
448,ASG00000ch,1
449,ASG00000ci,1
450,ASG00000cj,1
451,ASG00000ck,1
452,ASG00000cl,1
453,ASG00000cm,1
454,ASG00000cn,1
455,ASG00000co,1
456,ASG00000cp,1
457,ASG00000cq,1
458,ASG00000cr,1
459,ASG00000cs,1
460,ASG00000ct,1
461,ASG00000cu,1
462,ASG00000cv,1
463,ASG00000cw,1
464,ASG00000cx,1
465,ASG00000cy,0
466,ASG00000cz,1
467,ASG00000d0,1
468,ASG00000d1,1
469,ASG00000d2,1
470,ASG00000d3,1
471,ASG00000d4,1
472,ASG00000d5,1
473,ASG00000d6,1
474,ASG00000d7,1
475,ASG00000d8,1
476,ASG00000d9,1
477,ASG00000da,1
478,ASG00000db,1
479,ASG00000dc,1
480,ASG00000dd,1
481,ASG00000de,1
482,ASG00000df,1
483,ASG00000dg,1
484,ASG00000dh,1
485,ASG00000di,1
486,ASG00000dj,1
487,ASG00000dk,1
488,ASG00000dl,1
489,ASG00000dm,1
490,ASG00000dn,1
491,ASG00000do,1
492,ASG00000dp,1
493,ASG00000dq,1
494,ASG00000dr,1
495,ASG00000ds,1
496,ASG00000dt,1
497,ASG00000du,1
498,ASG00000dv,0
499,ASG00000dw,1
500,ASG00000dx,1
501,ASG00000dy,1
502,ASG00000dz,1
503,ASG00000e0,1
504,ASG00000e1,1
505,ASG00000e2,1
506,ASG00000e3,1
507,ASG00000e4,1
508,ASG00000e5,1
509,ASG00000e6,1
510,ASG00000e7,1
511,ASG00000e8,1
512,ASG00000e9,1
513,ASG00000ea,1
514,ASG00000eb,1
515,ASG00000ec,1
516,ASG00000ed,1
517,ASG00000ee,0
518,ASG00000ef,1
519,ASG00000eg,1
520,ASG00000eh,0
521,ASG00000ei,1
522,ASG00000ej,1
523,ASG00000ek,1
524,ASG00000el,1
525,ASG00000em,1
526,ASG00000en,1
527,ASG00000eo,1
528,ASG00000ep,1
529,ASG00000eq,1
530,ASG00000er,1
531,ASG00000es,1
532,ASG00000et,1
533,ASG00000eu,1
534,ASG00000ev,1
535,ASG00000ew,1
536,ASG00000ex,1
537,ASG00000ey,1
538,ASG00000ez,1
539,ASG00000f0,1
540,ASG00000f1,1
541,ASG00000f2,1
542,ASG00000f3,1
543,ASG00000f4,1
544,ASG00000f5,1
545,ASG00000f6,1
546,ASG00000f7,1
547,ASG00000f8,1
548,ASG00000f9,1
549,ASG00000fa,1
550,ASG00000fb,1
551,ASG00000fc,1
552,ASG00000fd,1
553,ASG00000fe,1
554,ASG00000ff,1
555,ASG00000fg,1
556,ASG00000fh,1
557,ASG00000fi,1
558,ASG00000fj,1
559,ASG00000fk,1
560,ASG00000fl,1
561,ASG00000fm,1
562,ASG00000fn,1
563,ASG00000fo,1
564,ASG00000fp,1
565,ASG00000fq,1
566,ASG00000fr,1
567,ASG00000fs,1
568,ASG00000ft,1
569,ASG00000fu,1
570,ASG00000fv,1
571,ASG00000fw,1
572,ASG00000fx,0
573,ASG00000fy,0
574,ASG00000fz,1
575,ASG00000g0,1
576,ASG00000g1,1
577,ASG00000g2,1
578,ASG00000g3,1
579,ASG00000g4,1
580,ASG00000g5,1
581,ASG00000g6,1
582,ASG00000g7,1
583,ASG00000g8,1
584,ASG00000g9,1
585,ASG00000ga,1
586,ASG00000gb,1
587,ASG00000gc,1
588,ASG00000gd,1
589,ASG00000ge,1
590,ASG00000gf,1
591,ASG00000gg,1
592,ASG00000gh,1
593,ASG00000gi,1
594,ASG00000gj,1
595,ASG00000gk,1
596,ASG00000gl,1
597,ASG00000gm,1
598,ASG00000gn,1
599,ASG00000go,1
600,ASG00000gp,1
601,ASG00000gq,1
602,ASG00000gr,1
603,ASG00000gs,1
604,ASG00000gt,1
605,ASG00000gu,1
606,ASG00000gv,1
607,ASG00000gw,1
608,ASG00000gx,1
609,ASG00000gy,1
610,ASG00000gz,1
611,ASG00000h0,1
612,ASG00000h1,1
613,ASG00000h2,1
614,ASG00000h3,1
615,ASG00000h4,1
616,ASG00000h5,1
617,ASG00000h6,1
618,ASG00000h7,1
619,ASG00000h8,1
620,ASG00000h9,1
621,ASG00000ha,0
622,ASG00000hb,1
623,ASG00000hc,1
624,ASG00000hd,1
625,ASG00000he,1
626,ASG00000hf,1
627,ASG00000hg,1
628,ASG00000hh,1
629,ASG00000hi,1
630,ASG00000hj,1
631,ASG00000hk,1
632,ASG00000hl,1
633,ASG00000hm,1
634,ASG00000hn,1
635,ASG00000ho,1
636,ASG00000hp,1
637,ASG00000hq,1
638,ASG00000hr,1
639,ASG00000hs,1
640,ASG00000ht,1
641,ASG00000hu,1
642,ASG00000hv,1
643,ASG00000hw,1
644,ASG00000hx,1
645,ASG00000hy,1
646,ASG00000hz,1
647,ASG00000i0,1
648,ASG00000i1,1
649,ASG00000i2,1
650,ASG00000i3,1
651,ASG00000i4,1
652,ASG00000i5,1
653,ASG00000i6,1
654,ASG00000i7,1
655,ASG00000i8,1
656,ASG00000i9,1
657,ASG00000ia,1
658,ASG00000ib,1
659,ASG00000ic,1
660,ASG00000id,1
661,ASG00000ie,1
662,ASG00000if,1
663,ASG00000ig,1
664,ASG00000ih,1
665,ASG00000ii,1
666,ASG00000ij,1
667,ASG00000ik,1
668,ASG00000il,1
669,ASG00000im,1
670,ASG00000in,1
671,ASG00000io,1
672,ASG00000ip,1
673,ASG00000iq,1
674,ASG00000ir,1
675,ASG00000is,1
676,ASG00000it,1
677,ASG00000iu,1
678,ASG00000iv,1
679,ASG00000iw,1
680,ASG00000ix,1
681,ASG00000iy,1
682,ASG00000iz,1
683,ASG00000j0,1
684,ASG00000j1,1
685,ASG00000j2,1
686,ASG00000j3,1
687,ASG00000j4,1
688,ASG00000j5,1
689,ASG00000j6,1
690,ASG00000j7,1
691,ASG00000j8,1
692,ASG00000j9,1
693,ASG00000ja,1
694,ASG00000jb,1
695,ASG00000jc,1
696,ASG00000jd,1
697,ASG00000je,1
698,ASG00000jf,1
699,ASG00000jg,1
700,ASG00000jh,1
701,ASG00000ji,1
702,ASG00000jj,1
703,ASG00000jk,1
704,ASG00000jl,1
705,ASG00000jm,1
706,ASG00000jn,1
707,ASG00000jo,1
708,ASG00000jp,1
709,ASG00000jq,1
710,ASG00000jr,1
711,ASG00000js,1
712,ASG00000jt,1
713,ASG00000ju,1
714,ASG00000jv,1
715,ASG00000jw,1
716,ASG00000jx,1
717,ASG00000jy,1
718,ASG00000jz,1
719,ASG00000k0,1
720,ASG00000k1,1
721,ASG00000k2,1
722,ASG00000k3,1
723,ASG00000k4,1
724,ASG00000k5,1
725,ASG00000k6,1
726,ASG00000k7,1
727,ASG00000k8,1
728,ASG00000k9,1
729,ASG00000ka,1
730,ASG00000kb,1
731,ASG00000kc,1
732,ASG00000kd,1
733,ASG00000ke,1
734,ASG00000kf,1
735,ASG00000kg,1
736,ASG00000kh,1
737,ASG00000ki,1
738,ASG00000kj,1
739,ASG00000kk,1
740,ASG00000kl,1
741,ASG00000km,1
742,ASG00000kn,1
743,ASG00000ko,1
744,ASG00000kp,1
745,ASG00000kq,1
746,ASG00000kr,1
747,ASG00000ks,0
748,ASG00000kt,0
749,ASG00000ku,0
750,ASG00000kv,1
751,ASG00000kw,1
752,ASG00000kx,1
753,ASG00000ky,1
754,ASG00000kz,1
755,ASG00000l0,1
756,ASG00000l1,1
757,ASG00000l2,1
758,ASG00000l3,1
759,ASG00000l4,0
760,ASG00000l5,0
761,ASG00000l6,1
762,ASG00000l7,1
763,ASG00000l8,0
764,ASG00000l9,1
765,ASG00000la,0
766,ASG00000lb,1
767,ASG00000lc,0
768,ASG00000ld,1
769,ASG00000le,0
770,ASG00000lf,1
771,ASG00000lg,1
772,ASG00000lh,1
773,ASG00000li,1
774,ASG00000lj,1
775,ASG00000lk,1
776,ASG00000ll,1
777,ASG00000lm,1
778,ASG00000ln,1
779,ASG00000lo,1
780,ASG00000lp,1
781,ASG00000lq,1
782,ASG00000lr,1
783,ASG00000ls,1
784,ASG00000lt,1
785,ASG00000lu,1
786,ASG00000lv,1
787,ASG00000lw,1
788,ASG00000lx,1
789,ASG00000ly,1
790,ASG00000lz,1
791,ASG00000m0,1
792,ASG00000m1,1
793,ASG00000m2,1
794,ASG00000m3,1
795,ASG00000m4,1
796,ASG00000m5,1
797,ASG00000m6,1
798,ASG00000m7,1
799,ASG00000m8,1
800,ASG00000m9,1
801,ASG00000ma,1
802,ASG00000mb,1
803,ASG00000mc,1
804,ASG00000md,1
805,ASG00000me,1
806,ASG00000mf,1
807,ASG00000mg,1
808,ASG00000mh,1
809,ASG00000mi,1
810,ASG00000mj,1
811,ASG00000mk,1
812,ASG00000ml,1
813,ASG00000mm,1
814,ASG00000mn,1
815,ASG00000mo,0
816,ASG00000mp,0
817,ASG00000mq,0
818,ASG00000ms,0
819,ASG00000mt,0
820,ASG00000mu,1
821,ASG00000mv,1
822,ASG00000mx,1
823,ASG00000n0,0
824,ASG00000n1,0
825,ASG00000n2,0
826,ASG00000n6,1
827,ASG00000n8,0
828,ASG00000n9,0
829,ASG00000nc,1
830,ASG00000nd,0
831,ASG00000ne,0
832,ASG00000nf,1
833,ASG00000ng,0
834,ASG00000nh,0
835,ASG00000nj,1
836,ASG00000nk,0
837,ASG00000no,1
838,ASG00000nr,0
839,ASG00000ns,0
840,ASG00000nt,0
841,ASG00000nv,0
842,ASG00000nw,0
843,ASG00000nx,0
844,ASG00000ny,0
845,ASG00000nz,0
846,ASG00000o0,0
847,ASG00000o1,0
848,ASG00000o4,1
849,ASG00000o6,0
850,ASG00000o8,1
851,ASG00000oa,1
852,ASG00000ob,0
853,ASG00000oc,0
854,ASG00000od,1
855,ASG00000oe,0
856,ASG00000og,0
857,ASG00000oh,1
858,ASG00000oj,1
859,ASG00000ol,0
860,ASG00000om,0
861,ASG00000on,0
862,ASG00000oo,0
863,ASG00000op,0
864,ASG00000oq,0
865,ASG00000or,0
866,ASG00000os,0
867,ASG00000ou,1
868,ASG00000ov,0
869,ASG00000ow,1
870,ASG00000oy,0
871,ASG00000oz,0
872,ASG00000p0,1
873,ASG00000p1,0
874,ASG00000p2,0
875,ASG00000p3,0
876,ASG00000p6,1
877,ASG00000p8,0
878,ASG00000p9,0
879,ASG00000pa,1
880,ASG00000pb,0
881,ASG00000pc,0
882,ASG00000pd,0
883,ASG00000pf,0
884,ASG00000pg,0
885,ASG00000pj,1
886,ASG00000pk,0
887,ASG00000pm,0
888,ASG00000po,0
889,ASG00000ps,0
890,ASG00000pt,0
891,ASG00000pw,0
892,ASG00000px,0
893,ASG00000py,0
894,ASG00000pz,0
895,ASG00000q2,1
896,ASG00000q3,0
897,ASG00000qb,0
898,ASG00000qc,0
899,ASG00000qf,1
900,ASG00000qh,0
901,ASG00000qj,0
902,ASG00000qk,0
903,ASG00000ql,0
904,ASG00000qm,0
905,ASG00000qn,0
906,ASG00000qo,1
907,ASG00000qq,1
908,ASG00000qs,1
909,ASG00000qt,0
910,ASG00000qu,0
911,ASG00000qv,0
912,ASG00000qx,0
913,ASG00000qy,0
914,ASG00000qz,0
915,ASG00000r1,0
916,ASG00000r2,0
917,ASG00000r3,0
918,ASG00000r4,0
919,ASG00000r5,0
920,ASG00000r6,0
921,ASG00000r7,0
922,ASG00000r8,1
923,ASG00000r9,1
924,ASG00000ra,0
925,ASG00000rb,0
926,ASG00000rc,0
927,ASG00000rd,1
928,ASG00000re,0
929,ASG00000rf,0
930,ASG00000rh,0
931,ASG00000ri,0
932,ASG00000rj,0
933,ASG00000ro,0
934,ASG00000rp,0
935,ASG00000rq,0
936,ASG00000rv,1
937,ASG00000rw,0
938,ASG00000rx,0
939,ASG00000rz,0
940,ASG00000s0,0
941,ASG00000s2,0
942,ASG00000s4,0
943,ASG00000s6,0
944,ASG00000s7,1
945,ASG00000s8,0
946,ASG00000s9,0
947,ASG00000sa,0
948,ASG00000sb,0
949,ASG00000sc,0
950,ASG00000sd,0
951,ASG00000sf,0
952,ASG00000sg,0
953,ASG00000sh,0
954,ASG00000sj,0
955,ASG00000sk,0
956,ASG00000sl,0
957,ASG00000sm,0
958,ASG00000sn,0
959,ASG00000so,0
960,ASG00000sp,0
961,ASG00000sq,0
962,ASG00000sr,0
963,ASG00000ss,0
964,ASG00000st,0
965,ASG00000su,0
966,ASG00000sw,0
967,ASG00000sx,0
968,ASG00000sy,0
969,ASG00000sz,0
970,ASG00000t0,1
971,ASG00000t2,1
972,ASG00000t3,0
973,ASG00000t4,0
974,ASG00000t5,0
975,ASG00000t6,0
976,ASG00000t7,0
977,ASG00000t8,0
978,ASG00000t9,1
979,ASG00000ta,1
980,ASG00000tc,0
981,ASG00000td,0
982,ASG00000te,0
983,ASG00000tf,0
984,ASG00000tg,0
985,ASG00000th,1
986,ASG00000ti,0
987,ASG00000tj,0
988,ASG00000tl,0
989,ASG00000tm,0
990,ASG00000tn,0
991,ASG00000to,0
992,ASG00000tq,1
993,ASG00000tr,0
994,ASG00000ts,0
995,ASG00000tt,0
996,ASG00000tu,0
997,ASG00000tv,0
998,ASG00000tw,1
999,ASG00000tx,0
1000,ASG00000ty,0
1001,ASG00000u0,0
1002,ASG00000u1,1
1003,ASG00000u2,0
1004,ASG00000u3,0
1005,ASG00000u4,0
1006,ASG00000u5,0
1007,ASG00000u7,0
1008,ASG00000u8,0
1009,ASG00000ua,0
1010,ASG00000ub,0
1011,ASG00000uc,0
1012,ASG00000ud,0
1013,ASG00000ue,1
1014,ASG00000uf,0
1015,ASG00000ug,0
1016,ASG00000uh,1
1017,ASG00000uj,0
1018,ASG00000uk,0
1019,ASG00000ul,0
1020,ASG00000um,0
1021,ASG00000un,1
1022,ASG00000uo,0
1023,ASG00000up,0
1024,ASG00000uq,0
1025,ASG00000us,0
1026,ASG00000ut,0
1027,ASG00000uv,0
1028,ASG00000uw,0
1029,ASG00000ux,0
1030,ASG00000uz,1
1031,ASG00000v0,0
1032,ASG00000v1,0
1033,ASG00000v2,0
1034,ASG00000v4,0
1035,ASG00000v6,0
1036,ASG00000v7,0
1037,ASG00000v8,1
1038,ASG00000v9,0
1039,ASG00000va,0
1040,ASG00000vc,0
1041,ASG00000vd,0
1042,ASG00000ve,0
1043,ASG00000vf,0
1044,ASG00000vh,0
1045,ASG00000vi,0
1046,ASG00000vj,0
1047,ASG00000vm,1
1048,ASG00000vn,0
1049,ASG00000vo,0
1050,ASG00000vp,0
1051,ASG00000vq,1
1052,ASG00000vr,0
1053,ASG00000vt,0
1054,ASG00000vv,0
1055,ASG00000vw,1
1056,ASG00000vz,0
1057,ASG00000w1,0
1058,ASG00000w2,0
1059,ASG00000w3,0
1060,ASG00000w5,0
1061,ASG00000w6,0
1062,ASG00000w8,0
1063,ASG00000w9,0
1064,ASG00000wa,0
1065,ASG00000wb,0
1066,ASG00000wc,1
1067,ASG00000wd,1
1068,ASG00000wf,0
1069,ASG00000wi,0
1070,ASG00000wk,0
1071,ASG00000wl,0
1072,ASG00000wm,0
1073,ASG00000wp,1
1074,ASG00000wu,0
1075,ASG00000wx,0
1076,ASG00000wy,1
1077,ASG00000wz,0
1078,ASG00000x1,0
1079,ASG00000x2,0
1080,ASG00000x3,1
1081,ASG00000x4,0
1082,ASG00000x5,0
1083,ASG00000x6,0
1084,ASG00000x9,0
1085,ASG00000xa,0
1086,ASG00000xc,0
1087,ASG00000xd,0
1088,ASG00000xe,0
1089,ASG00000xf,0
1090,ASG00000xg,0
1091,ASG00000xj,0
1092,ASG00000xo,1
1093,ASG00000xp,0
1094,ASG00000xq,0
1095,ASG00000xr,0
1096,ASG00000xt,0
1097,ASG00000xv,0
1098,ASG00000xw,0
1099,ASG00000xx,0
1100,ASG00000xy,0
1101,ASG00000y0,0
1102,ASG00000y1,0
1103,ASG00000y2,0
1104,ASG00000y3,0
1105,ASG00000y4,0
1106,ASG00000y5,0
1107,ASG00000y6,0
1108,ASG00000y7,0
1109,ASG00000ya,0
1110,ASG00000yb,1
1111,ASG00000yc,0
1112,ASG00000yd,0
1113,ASG00000ye,0
1114,ASG00000yg,0
1115,ASG00000yh,0
1116,ASG00000yi,0
1117,ASG00000yj,0
1118,ASG00000yk,0
1119,ASG00000yl,0
1120,ASG00000yn,0
1121,ASG00000yo,0
1122,ASG00000yp,0
1123,ASG00000yr,1
1124,ASG00000ys,0
1125,ASG00000yu,0
1126,ASG00000yv,0
1127,ASG00000yx,0
1128,ASG00000yy,0
1129,ASG00000yz,0
1130,ASG00000z0,0
1131,ASG00000z1,0
1132,ASG00000z2,0
1133,ASG00000z3,0
1134,ASG00000z4,0
1135,ASG00000z5,0
1136,ASG00000z6,0
1137,ASG00000z8,0
1138,ASG00000z9,0
1139,ASG00000za,0
1140,ASG00000zb,0
1141,ASG00000zc,0
1142,ASG00000ze,0
1143,ASG00000zg,0
1144,ASG00000zh,0
1145,ASG00000zi,0
1146,ASG00000zj,0
1147,ASG00000zk,1
1148,ASG00000zl,1
1149,ASG00000zr,1
1150,ASG00000zs,1
1151,ASG00000zt,0
1152,ASG00000zv,0
1153,ASG00000zw,0
1154,ASG00000zx,0
1155,ASG00000zy,0
1156,ASG00000zz,0
1157,ASG0000101,1
1158,ASG0000103,0
1159,ASG0000104,1
1160,ASG0000105,0
1161,ASG0000106,0
1162,ASG0000107,0
1163,ASG0000108,0
1164,ASG0000109,0
1165,ASG000010b,1
1166,ASG000010c,0
1167,ASG000010e,0
1168,ASG000010f,0
1169,ASG000010g,1
1170,ASG000010h,0
1171,ASG000010i,1
1172,ASG000010j,0
1173,ASG000010k,0
1174,ASG000010o,0
1175,ASG000010q,0
1176,ASG000010v,0
1177,ASG000010w,0
1178,ASG000010x,1
1179,ASG000010y,1
1180,ASG000010z,0
1181,ASG0000112,1
1182,ASG0000114,1
1183,ASG0000115,1
1184,ASG0000116,0
1185,ASG0000117,0
1186,ASG0000118,0
